Gene
CCT2
TMEM158
ATP6V1C1
SLC10A3
PLCXD1
NOX4
CLDN3
LBH
VEGFD
IFITM1
KCNQ1
ANKRD10
MMD
TAF1D
RNASE1
PRRX1
CACYBP
CRLF3
PTPRG
RPS19
TENT5A
DDAH2
RCN1
CEMIP
FER1L4
ZNF710-AS1
CPSF6
IL32
MCM3
COA3
CTSC
FAM50A
IGF2BP3
PMEPA1
ARL4C
DNASE1
ITGB1BP1
AGPS
SNRPF
NR3C2
CYB5A
SEC61G
SLC38A6
SLC39A6
ALCAM
RAB17
RHOBTB1
ADH1C
HSD17B6
ELOC
TRPA1
HOXC6
CSGALNACT2
AUH
MRGBP
LSM7
MSH2
CCNG1
ATP13A2
NDC80
PAICS
ATP8A1
LXN
SRPX2
PON2
TUBB
VOPP1
NECTIN3
HSPH1
GLOD4
MCM7
SERPINA4
SKAP2
MCUR1
HOXC10
MCM5
UPF3B
MYOC
ABCC5
CLEC7A
SLC16A10
ENTPD1
BCAS1
NELFCD
ILF2
ENG
GPX4
TMEM176A
RGN
CTPS1
GPNMB
MEX3D
AADAC
PPFIBP2
RAB27A
PER2
CCR1
RIN2
ABCA5
HIF1A
MCUB
ZNF281
TPD52L1
PDGFRB
HMGB2
FKBP10
KIF2A
AHR
MITF
PGK1
STIP1
CD9
ROBO1
REG1A
CST1
RBM12
IQGAP2
EPHB3
PUF60
BZW1
MECOM
CLEC11A
CDC7
IFI16
FA2H
PDGFD
RIN3
S100A6
LIF
TBC1D8
NMRK1
ANG
NMI
FANCI
RAB26
GAMT
DEPTOR
FSCN1
NRIP1
MTCH2
HEY1
CPVL
ASPA
NEK3
SERPINA5
CD86
SMC1A
MLPH
NUP37
PYROXD1
NBN
DOCK4
CAPN2
ANXA2
ADCY7
PFKP
KIAA0895
COBLL1
GULP1
SAC3D1
PLPP3
THBS4
FBL
NAE1
PIK3CA
LOXL1
NPL
EXOSC8
GALNT2
CTSD
PSRC1
IGFBP3
TENT5C
ATP1B3
DAB2
ACYP1
STK38
NFE2L2
ANP32E
CAPG
ITGB1
S100A4
TCFL5
MTA1
DENR
CEBPB
IFNGR1
UCK2
TSC22D3
CORO1C
CLDN18
EPB41L2
ENC1
ELK3
ELOVL5
WAPL
LRRC31
KLHDC2
C1orf115
FAM107A
CITED2
PYCARD
SERPINI1
CHI3L1
RPN1
FAR2
OSMR
CALM2
SHANK2
ISG15
ORM2
FUT1
TDG
LBR
CCT5
DOCK9
TNFRSF1B
ADNP
LDHB
CD58
STEAP3
SCGB2A1
TCN1
GALNT12
HNRNPR
TOB1
PLBD1
CACNA2D2
ADAM10
TRIP6
ATP2A2
ACTL6A
BLVRB
CAMK2N1
F12
ACVR1
RFC4
KCTD14
TPBG
PTPRE
SLC35A2
VWA1
SYTL2
MMP11
ECHDC3
FDPS
SIM2
AMMECR1
ITPKA
AVL9
TM7SF2
SGK1
HNRNPM
KAT2B
DUOX2
LAP3
ASS1
PRDX1
TUBA4A
AP2M1
TTTY14
DEK
TKT
EDNRA
RB1
GATA4
GPRC5A
C1orf116
NUCB2
DDX39A
JCHAIN
NUP153
ZWILCH
BHLHE41
B4GALT5
ATG3
LSM5
TMEM45A
PTER
TGM2
USP1
HS2ST1
AURKB
ANXA1
CBX1
NREP
GNE
TIE1
GMPR
NOTCH1
MMP7
HBB
EFNA4
CDH3
SP3
PLS3
SOCS2
KRT7
POR
ZBTB16
C2
ADH1B
MYOF
CHAC1
OSBPL3
AEBP1
NAP1L1
GPI
ITGBL1
MCM4
PAPSS1
TOM1L1
GPX3
HOXA10
MBD2
MSRB2
AGRN
SPOCK1
