,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
PRR15L,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0007303967514570247,0.18272169423088336,-0.1310868
CDK5RAP3,False,False,624,0.49220103,63.95147313691507,852.0,False,0.3877921137556315,0.24385451519450888,-0.42461398
AC018521.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
COPZ2,False,False,8,0.004621606,99.53783939919121,8.0,False,0.0032856640478110275,-0.1505904516741019,-0.9529364
AC004477.1,False,False,20,0.011554015,98.84459849797804,20.0,False,0.013177344625428133,0.1669463749295335,-0.16998409
NFE2L1,False,False,118,0.072790295,93.18313113807048,126.0,False,0.06478486907110992,0.1770453951311673,-0.14508288
AC004477.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC004477.3,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.000859416894378868,0.3454524162703074,0.27015924
CBX1,False,False,464,0.37146157,73.1946851530907,643.0,False,0.2619902227221267,0.12255881448584313,-0.8728111
SNX11,False,False,72,0.04621606,95.84055459272098,80.0,False,0.03769642396913634,0.35846984032621265,0.30225638
SKAP1,False,False,603,0.542461,65.16464471403813,939.0,True,0.4940833464384499,0.7609585625983046,1.486126
