,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
TUBA1A,False,False,1262,2.7590988,27.09416522241479,4776.0,True,1.470804511346134,2.171440085602981,2.2409902
AC010173.1,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.008481095763993135,0.8253308973390666,1.4533982
AC008147.1,False,False,15,0.019641826,99.13344887348353,34.0,True,0.012057265358431069,1.2025506439426115,2.383511
NR4A1,False,False,164,0.11438475,90.52570768341998,198.0,True,0.1290666947873665,1.018484517012154,1.9296582
ITGB7,False,False,20,0.012709416,98.84459849797804,22.0,True,0.013753403991854034,0.6987489668103505,1.1412845
HOXC4,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0023265581225580907,0.7214454866571443,1.1972475
CD63,False,False,1215,1.8827268,29.809358752166382,3259.0,True,1.0282553587087564,1.1655280215393333,1.4476593
SUOX,False,False,73,0.044482958,95.78278451761987,77.0,True,0.04701318012012979,0.8957049210981705,1.6269199
AC034102.3,False,False,4,0.002310803,99.7689196995956,4.0,True,0.005406649149835975,1.5320724221455386,3.196015
AC073896.3,False,False,11,0.006354708,99.36452917388793,11.0,True,0.008948315051776607,0.7191337400647285,1.1915474
STAT2,False,False,148,0.09532063,91.45002888503755,165.0,True,0.09003838613264652,0.716330992666921,1.1846366
NXPH4,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.00279701774712543,1.5264764530729655,3.1822166
INHBC,False,False,4,0.0028885037,99.7689196995956,5.0,True,0.0035316426595431425,0.7458985727897776,1.2575415
AC048341.2,False,False,16,0.009243212,99.07567879838244,16.0,True,0.01104180848034599,0.7742741832163312,1.3275075
SRGAP1,False,False,47,0.032928944,97.28480647024841,57.0,True,0.046860575865864486,1.3382215696126374,2.7180357
AC025419.1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0015273180236870135,0.9208008423364056,1.688799
HMGA2-AS1,False,False,183,0.119584054,89.42807625649914,207.0,True,0.1504918141521693,0.8707017925404592,1.5652696
IRAK3,False,False,565,0.4627383,67.35990756787984,801.0,True,0.4445973314833514,0.7582010570065059,1.4759367
IFNG-AS1,False,False,7,0.006932409,99.59560947429232,12.0,True,0.019883521192540082,1.9756817799891877,4.289825
PTPRB,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0018471470657800363,1.1110899033755406,2.157996
TRHDE,False,False,4,0.0028885037,99.7689196995956,5.0,True,0.004262640235085594,0.9497501030240845,1.7601794
GLIPR1L1,False,False,11,0.006354708,99.36452917388793,11.0,True,0.010480076969452717,1.222988173718708,2.433904
GLIPR1L2,False,False,9,0.0051993066,99.48006932409012,9.0,True,0.007981319374137,1.0645072928869677,2.0431368
GLIPR1,False,False,496,0.45060658,71.34604274985557,780.0,True,0.42734127121571847,0.6520506824995702,1.0837028
AC107032.2,False,False,34,0.02310803,98.03581744656267,40.0,True,0.02781592125025975,0.8972722658009518,1.6307845
SYT1,False,False,408,0.33795494,76.42980935875217,585.0,True,0.34840430710213727,0.7559003661844356,1.4674355
PPFIA2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0025043679823524142,0.9908223232594178,1.8614514
AC089998.4,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.004459424374025867,1.878828733719642,4.051014
TMTC2,False,False,139,0.10571924,91.96995956094743,183.0,True,0.11970088571089288,0.6810081527729057,1.0975409
ALX1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.003364448563273501,1.711470590312745,3.6383579
NTS,False,False,1,0.0011554015,99.94222992489891,2.0,True,0.0025724087377082777,1.4426530333593315,2.975533
KITLG,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.003364448563273501,1.711470590312745,3.6383579
LINC02458,False,False,4,0.002310803,99.7689196995956,4.0,True,0.004079297415494892,0.929507635268283,1.7102674
DUSP6,False,False,220,0.18717505,87.29058347775852,324.0,True,0.20031471634124384,0.8906501655979304,1.6144564
POC1B-AS1,False,False,58,0.035817448,96.64933564413633,62.0,True,0.04486176596565408,0.6881617867630782,1.1151797
ATP2B1,False,False,977,1.1305604,43.55863662622761,1957.0,True,0.8423743095499373,1.1010421900769505,1.2941052
ATP2B1-AS1,False,False,300,0.22414789,82.66897746967071,388.0,True,0.24598061871599622,0.672121290867244,1.0756285
LUM,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.003364448563273501,1.711470590312745,3.6383579
DCN,False,False,1,0.0011554015,99.94222992489891,2.0,True,0.006717616134623618,2.4046178713969755,5.347455
LINC01619,False,False,277,0.22010398,83.99768919699595,381.0,True,0.2762917561364281,1.5852066217353722,4.531787
BTG1,False,False,899,0.9508954,48.06470248411323,1646.0,True,0.7806756344504294,1.3862908058821872,2.7181406
LINC02391,False,False,3,0.0017331023,99.8266897746967,3.0,True,0.0033337851312160013,1.3692708151203201,2.794594
LINC02397,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0017369731315538773,1.0495364481701377,2.0062232
ANKS1B,False,False,4,0.002310803,99.7689196995956,4.0,True,0.0032742872079144034,0.9242773662923006,1.6973711
GLT8D2,False,False,4,0.002310803,99.7689196995956,4.0,True,0.005285751634604705,1.363121356412366,2.779431
CRY1,False,False,546,0.42056614,68.4575389948007,728.0,True,0.38114550238871053,0.6770648267797438,1.176132
BTBD11,False,False,524,0.43731946,69.72848064702484,757.0,True,0.4289202565333611,0.7048587928533966,1.2788329
LINC01405,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.00210938246807638,0.7083212087137863,1.1648868
SLC8B1,False,False,85,0.05199307,95.0895436164067,90.0,True,0.05675445721160941,0.742694848970788,1.2496421
HRK,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.005026575320529192,1.513905612019455,3.1512208
AC026367.3,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.003916301096290046,0.6679055652809218,1.0652337
CLIP1,False,False,376,0.27729636,78.27845176198728,480.0,True,0.2623947076115124,0.8464430999883402,1.8019979
ABCB9,False,False,98,0.06759099,94.33853264009244,117.0,True,0.04876486103064666,0.7703234280163102,1.3177661
RILPL1,False,False,24,0.01502022,98.61351819757365,26.0,True,0.021651056061011947,0.8612327262083661,1.5419216
TMEM132C,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0041725965340994485,1.5518366722014443,3.2447476
ADGRD1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.0034995214604914295,1.328932150650085,2.6951306
AC073578.1,False,False,21,0.012709416,98.78682842287695,22.0,True,0.017306392919290516,0.6916819352759462,1.1238593
ZDHHC20,False,False,671,0.5574812,61.23627960716349,965.0,True,0.45278962330719164,0.8471668644711412,1.8046724
SACS-AS1,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.0017280960776230217,1.0444082614570804,1.9935786
MTMR6,False,False,376,0.28365105,78.27845176198728,491.0,True,0.2980628766253135,0.7728947188742433,1.5302309
USP12-AS1,False,False,47,0.027151935,97.28480647024841,47.0,True,0.03128671854712561,0.9751566315997661,1.8228245
FLT3,False,False,564,0.5557481,67.41767764298093,962.0,True,0.5077613696800746,0.9321736726453541,2.1187792
MTUS2,False,False,11,0.006354708,99.36452917388793,11.0,True,0.007252555273711012,0.8503742257256446,1.5151478
HMGB1,False,False,1662,15.588677,3.9861351819757362,26984.0,True,2.5220022544503045,1.799128433863473,1.2416868
ALOX5AP,False,False,30,0.03004044,98.26689774696708,52.0,True,0.03902684945100884,1.4462491283844638,2.9843998
FRY,False,False,438,0.33622184,74.69670710571924,582.0,True,0.3334906652173734,0.6950283330185744,1.2425085
